bbox_0,ASD_score_0,speakerOrNot_csv_0,bbox_1,ASD_score_1,speakerOrNot_csv_1,bbox_2,ASD_score_2,speakerOrNot_csv_2,bbox_3,ASD_score_3,speakerOrNot_csv_3
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
[],,,[],,,[],,,[],,
